respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.5,0.25
26708,0.25,0.25
26709,0.5,0.25
26710,0.25,0.25
26711,0,0.25
26712,0.5,0.25
26713,0.5,0.25
26714,0.5,0.25
26715,0.25,0.25
26716,0.5,0.25
26717,0,0.25
26718,0.25,0.25
26719,0.5,0.25
26720,0.25,0.25
26721,0.25,0.25
26722,0.5,0.25
26723,0,0.25
26724,0.5,0.25
26725,0,0.25
26726,0.5,0.25
26727,0.5,0.25
26728,0.5,0.25
26729,0.5,0.25
26730,0,0.25
26731,0,0.25
26732,0,0.25
26733,0.25,0.25
26734,0.5,0.25
26735,0.5,0.25
26736,0.5,0.25
26737,0.25,0.25
26738,0.5,0.25
26739,0.25,0.25
26740,0.25,0.25
26741,0.5,0.25
26742,0.25,0.25
26743,0.25,0.25
26744,0.25,0.25
26745,0.5,0.25
26746,0,0.25
26747,0.5,0.25
26748,0.25,0.25
26749,0.25,0.25
26750,0.5,0.25
26751,0.5,0.25
26752,0,0.25
26753,0,0.25
26754,0.25,0.25
26755,0.25,0.25
26756,0,0.25
26757,0,0.25
26758,0,0.25
26759,0.25,0.25
26760,0.5,0.25
26761,0.5,0.25
26762,0.25,0.25
26763,0.5,0.25
26764,0.5,0.25
26765,0,0.25
26766,0.25,0.25
26767,0.5,0.25
26768,0,0.25
26769,0.5,0.25
26770,0.5,0.25
26771,0,0.25
26772,0,0.25
26773,0.5,0.25
26774,0.25,0.25
26775,0.5,0.25
26776,0.5,0.25
26777,0.5,0.25
26778,0.5,0.25
26779,0.5,0.25
26780,0.5,0.25
26781,0.25,0.25
26782,0.5,0.25
26783,0.5,0.25
26784,0.5,0.25
26785,0.5,0.25
26786,0.5,0.25
26787,0,0.25
26788,0.25,0.25
26789,0.5,0.25
26790,0.5,0.25
26791,0.25,0.25
26792,0.5,0.25
26793,0.5,0.25
26794,0.5,0.25
26795,0.25,0.25
26796,0,0.25
26797,0,0.25
26798,0.25,0.25
26799,0,0.25
26800,0.5,0.25
26801,0.25,0.25
26802,0.25,0.25
26803,0.5,0.25
26804,0,0.25
26805,0,0.25
26806,0,0.25
26807,0,0.25
26808,0.5,0.25
26809,0.25,0.25
26810,0.25,0.25
26811,0.5,0.25
26812,0.5,0.25
26813,0,0.25
26814,0.5,0.25
26815,0.25,0.25
26816,0,0.25
26817,0.5,0.25
26818,0,0.25
26819,0,0.25
26820,0,0.25
26821,0.5,0.25
26822,0.25,0.25
26823,0,0.25
26824,0.25,0.25
26825,0,0.25
26826,0.5,0.25
26827,0.25,0.25
26828,0,0.25
26829,0.5,0.25
26830,0,0.25
26831,0,0.25
26832,0.5,0.25
26833,0.5,0.25
26834,0,0.25
26835,0.5,0.25
26836,0.5,0.25
26837,0.25,0.25
26838,0.5,0.25
26839,0.5,0.25
26840,0,0.25
26841,0,0.25
26842,0,0.25
26843,0.25,0.25
26844,0.5,0.25
26845,0.25,0.25
26846,0.25,0.25
26847,0.5,0.25
26848,0.5,0.25
26849,0.25,0.25
26850,0,0.25
26851,0,0.25
26852,0.25,0.25
26853,0.5,0.25
26854,0.5,0.25
26855,0,0.25
26856,0.25,0.25
26857,0,0.25
26858,0.25,0.25
26859,0.25,0.25
26860,0,0.25
26861,0.5,0.25
26862,0.25,0.25
26863,0.5,0.25
26864,0.5,0.25
26865,0.25,0.25
26866,0.5,0.25
26867,0.5,0.25
26868,0.25,0.25
26869,0,0.25
26870,0.25,0.25
26871,0,0.25
26872,0,0.25
26873,0,0.25
26874,0.5,0.25
26875,0,0.25
26876,0,0.25
26877,0.25,0.25
26878,0.25,0.25
26879,0.25,0.25
26880,0.5,0.25
26881,0,0.25
26882,0.25,0.25
26883,0.25,0.25
26884,0,0.25
26885,0.5,0.25
26886,0,0.25
26887,0.5,0.25
26888,0.5,0.25
26889,0.25,0.25
26890,0,0.25
26891,0.25,0.25
26892,0.5,0.25
26893,0.25,0.25
26894,0.5,0.25
26895,0.25,0.25
26896,0.25,0.25
26897,0.25,0.25
26898,0.25,0.25
26899,0.25,0.25
26900,0.25,0.25
26901,0,0.25
26902,0.5,0.25
26903,0,0.25
26904,0.25,0.25
26905,0,0.25
26906,0,0.25
26907,0.25,0.25
26908,0.5,0.25
26909,0.25,0.25
26910,0,0.25
26911,0.25,0.25
26912,0.5,0.25
26913,0.5,0.25
26914,0.5,0.25
26915,0,0.25
26916,0.5,0.25
26917,0,0.25
26918,0.25,0.25
26919,0.5,0.25
26920,0.5,0.25
26921,0,0.25
26922,0.25,0.25
26923,0,0.25
26924,0,0.25
26925,0.5,0.25
26926,0,0.25
26927,0,0.25
26928,0.5,0.25
26929,0.25,0.25
26930,0.25,0.25
26931,0.5,0.25
26932,0.5,0.25
26933,0,0.25
26934,0,0.25
26935,0.5,0.25
26936,0,0.25
26937,0.5,0.25
26938,0.25,0.25
26939,0.25,0.25
26940,0.5,0.25
26941,0,0.25
26942,0.5,0.25
26943,0.5,0.25
26944,0.25,0.25
26945,0.5,0.25
26946,0.25,0.25
26947,0.5,0.25
26948,0.5,0.25
26949,0.25,0.25
26950,0.5,0.25
26951,0.25,0.25
26952,0.25,0.25
26953,0,0.25
26954,0.5,0.25
26955,0.5,0.25
26956,0.25,0.25
26957,0,0.25
26958,0.5,0.25
26959,0.25,0.25
26960,0.25,0.25
26961,0.25,0.25
26962,0.5,0.25
26963,0.5,0.25
26964,0.5,0.25
26965,0.5,0.25
26966,0.25,0.25
26967,0,0.25
26968,0.25,0.25
26969,0,0.25
26970,0,0.25
26971,0.5,0.25
26972,0,0.25
26973,0,0.25
26974,0,0.25
26975,0,0.25
26976,0.5,0.25
26977,0.5,0.25
26978,0,0.25
26979,0.25,0.25
26980,0.25,0.25
26981,0.5,0.25
26982,0.5,0.25
26983,0,0.25
26984,0.25,0.25
26985,0,0.25
26986,0,0.25
26987,0.5,0.25
26988,0.25,0.25
26989,0.5,0.25
26990,0.5,0.25
26991,0.5,0.25
26992,0.5,0.25
26993,0.5,0.25
